voyageID,yearIn_num,voyage_duration,reason
AV03667,1881,0,nonpositive
AV03671,1836,0,nonpositive
AV03693,1841,0,nonpositive
AV03694,1841,0,nonpositive
AV03699,1856,0,nonpositive
AV03719,1896,0,nonpositive
AV03735,1812,0,nonpositive
AV03736,1815,0,nonpositive
AV03737,1815,0,nonpositive
AV03738,1816,0,nonpositive
AV03740,1817,0,nonpositive
AV03741,1818,0,nonpositive
AV03803,1812,0,nonpositive
AV03805,1816,0,nonpositive
AV03807,1817,0,nonpositive
AV03808,1818,0,nonpositive
AV03809,1822,0,nonpositive
AV03811,1823,0,nonpositive
AV03846,1831,0,nonpositive
AV03851,1847,0,nonpositive
AV03856,1851,0,nonpositive
AV03860,1836,0,nonpositive
AV03862,1839,0,nonpositive
AV03900,1832,0,nonpositive
AV03914,1880,0,nonpositive
AV03922,1865,0,nonpositive
AV03926,1872,0,nonpositive
AV03927,1873,0,nonpositive
AV03931,1876,0,nonpositive
AV03933,1878,0,nonpositive
AV03936,1850,0,nonpositive
AV03939,1852,0,nonpositive
AV03940,1852,0,nonpositive
AV03941,1853,0,nonpositive
AV03948,1866,0,nonpositive
AV03989,1819,0,nonpositive
AV03994,1861,0,nonpositive
AV04010,1817,0,nonpositive
AV04014,1816,0,nonpositive
AV04015,1813,0,nonpositive
AV04026,1864,0,nonpositive
AV04033,1865,0,nonpositive
AV04037,1875,0,nonpositive
AV04042,1876,0,nonpositive
AV04045,1861,0,nonpositive
AV04050,1844,0,nonpositive
AV04051,1845,0,nonpositive
AV04052,1846,0,nonpositive
AV04058,1863,0,nonpositive
AV04060,1866,0,nonpositive
AV04064,1872,0,nonpositive
AV04065,1873,0,nonpositive
AV04072,1885,0,nonpositive
AV04079,1898,0,nonpositive
AV04088,1862,0,nonpositive
AV04101,1831,0,nonpositive
AV04123,1854,0,nonpositive
AV04126,1862,0,nonpositive
AV04154,1881,0,nonpositive
AV04158,1885,0,nonpositive
AV04159,1886,0,nonpositive
AV04170,1850,0,nonpositive
AV04186,1821,0,nonpositive
AV04188,1822,0,nonpositive
AV04212,1815,0,nonpositive
AV04215,1820,0,nonpositive
AV04216,1821,0,nonpositive
AV04225,1836,0,nonpositive
AV04238,1846,0,nonpositive
AV04246,1840,0,nonpositive
AV04247,1841,0,nonpositive
AV04253,1864,0,nonpositive
AV04254,1864,0,nonpositive
AV04255,1865,0,nonpositive
AV04260,1834,0,nonpositive
AV04272,1860,0,nonpositive
AV04300,1864,0,nonpositive
AV04301,1865,0,nonpositive
AV04302,1866,0,nonpositive
AV04304,1868,0,nonpositive
AV04305,1870,0,nonpositive
AV04306,1871,0,nonpositive
AV04307,1872,0,nonpositive
AV04309,1873,0,nonpositive
AV04310,1874,0,nonpositive
AV04311,1875,0,nonpositive
AV04312,1876,0,nonpositive
AV04313,1877,0,nonpositive
AV04314,1878,0,nonpositive
AV04315,1879,0,nonpositive
AV04316,1880,0,nonpositive
AV04317,1881,0,nonpositive
AV04318,1882,0,nonpositive
AV04319,1883,0,nonpositive
AV04321,1884,0,nonpositive
AV04322,1885,0,nonpositive
AV04323,1885,0,nonpositive
AV04324,1886,0,nonpositive
AV04325,1887,0,nonpositive
AV04326,1866,0,nonpositive
AV04328,1869,0,nonpositive
AV04332,1874,0,nonpositive
AV04336,1881,0,nonpositive
AV04345,1840,0,nonpositive
AV04381,1862,0,nonpositive
AV04382,1863,0,nonpositive
AV04386,1842,0,nonpositive
AV04392,1828,0,nonpositive
AV04410,1893,0,nonpositive
AV04418,1845,0,nonpositive
AV04419,1851,0,nonpositive
AV04429,1884,0,nonpositive
AV04430,1885,0,nonpositive
AV04436,1889,0,nonpositive
AV04437,1890,0,nonpositive
AV04442,1893,0,nonpositive
AV04443,1894,0,nonpositive
AV04444,1867,0,nonpositive
AV04447,1881,0,nonpositive
AV04461,1857,0,nonpositive
AV04462,1858,0,nonpositive
AV04463,1858,0,nonpositive
AV04464,1859,0,nonpositive
AV04465,1860,0,nonpositive
AV04468,1863,0,nonpositive
AV04469,1864,0,nonpositive
AV04470,1865,0,nonpositive
AV04471,1866,0,nonpositive
AV04472,1867,0,nonpositive
AV04489,1857,0,nonpositive
AV04553,1853,0,nonpositive
AV04559,1864,0,nonpositive
AV04565,1876,0,nonpositive
AV04568,1881,0,nonpositive
AV04571,1886,0,nonpositive
AV04572,1887,0,nonpositive
AV04573,1887,0,nonpositive
AV04574,1888,0,nonpositive
AV04575,1889,0,nonpositive
AV04576,1890,0,nonpositive
AV04578,1891,0,nonpositive
AV04579,1892,0,nonpositive
AV04586,1862,0,nonpositive
AV04605,1850,0,nonpositive
AV04606,1851,0,nonpositive
AV04608,1843,0,nonpositive
AV04609,1844,0,nonpositive
AV04618,1840,0,nonpositive
AV04631,1857,0,nonpositive
AV04632,1858,0,nonpositive
AV04633,1859,0,nonpositive
AV04637,1865,0,nonpositive
AV04638,1866,0,nonpositive
AV04639,1867,0,nonpositive
AV04644,1854,0,nonpositive
AV04646,1867,0,nonpositive
AV04661,1884,0,nonpositive
AV04669,1865,0,nonpositive
AV04670,1866,0,nonpositive
AV04709,1886,0,nonpositive
AV04733,1844,0,nonpositive
AV04743,1815,0,nonpositive
AV04746,1815,0,nonpositive
AV04747,1816,0,nonpositive
AV04749,1817,0,nonpositive
AV04752,1868,0,nonpositive
AV04754,1867,0,nonpositive
AV04757,1878,0,nonpositive
AV04766,1886,0,nonpositive
AV04769,1816,0,nonpositive
AV04779,1846,0,nonpositive
AV04791,1832,0,nonpositive
AV04792,1832,0,nonpositive
AV04799,1820,0,nonpositive
AV04810,1840,0,nonpositive
AV04811,1840,0,nonpositive
AV04812,1841,0,nonpositive
AV04816,1846,0,nonpositive
AV04867,1833,0,nonpositive
AV04879,1881,0,nonpositive
AV04939,1844,0,nonpositive
AV04951,1885,0,nonpositive
AV04977,1876,0,nonpositive
AV04983,1872,0,nonpositive
AV04984,1873,0,nonpositive
AV04986,1875,0,nonpositive
AV04987,1876,0,nonpositive
AV04989,1878,0,nonpositive
AV05006,1869,0,nonpositive
AV05024,1878,0,nonpositive
AV05051,1866,0,nonpositive
AV05062,1822,0,nonpositive
AV05075,1889,0,nonpositive
AV05077,1837,0,nonpositive
AV05100,1835,0,nonpositive
AV05101,1836,0,nonpositive
AV05120,1893,0,nonpositive
AV05125,1833,0,nonpositive
AV05143,1879,0,nonpositive
AV05144,1880,0,nonpositive
AV05145,1881,0,nonpositive
AV05146,1882,0,nonpositive
AV05147,1883,0,nonpositive
AV05148,1884,0,nonpositive
AV05149,1885,0,nonpositive
AV05150,1886,0,nonpositive
AV05152,1888,0,nonpositive
AV05191,1858,0,nonpositive
AV05202,1822,0,nonpositive
AV05262,1840,0,nonpositive
AV05263,1841,0,nonpositive
AV05268,1849,0,nonpositive
AV05269,1850,0,nonpositive
AV05271,1852,0,nonpositive
AV05272,1853,0,nonpositive
AV05288,1837,0,nonpositive
AV05294,1866,0,nonpositive
AV05337,1822,0,nonpositive
